infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
attraper,to catch,False,attrape,attrapes,attrape,attrapons,attrapez,attrapent,attrapais,attrapais,attrapait,attrapions,attrapiez,attrapaient,attrapai,attrapas,attrapa,attrapâmes,attrapâtes,attrapèrent,attraperai,attraperas,attrapera,attraperons,attraperez,attraperont,attraperais,attraperais,attraperait,attraperions,attraperiez,attraperaient,attrape,attrapes,attrape,attrapions,attrapiez,attrapent,attrapasse,attrapasses,attrapât,attrapassions,attrapassiez,attrapassent,attrape,attrapons,attrapez,ai attrapé,as attrapé,a attrapé,avons attrapé,avez attrapé,ont attrapé,avais attrapé,avais attrapé,avait attrapé,avions attrapé,aviez attrapé,avaient attrapé,aurai attrapé,auras attrapé,aura attrapé,aurons attrapé,aurez attrapé,auront attrapé,aurais attrapé,aurais attrapé,aurait attrapé,aurions attrapé,auriez attrapé,auraient attrapé,aie attrapé,aies attrapé,ait attrapé,ayons attrapé,ayez attrapé,aient attrapé,eusse attrapé,eusses attrapé,eût attrapé,eussions attrapé,eussiez attrapé,eussent attrapé,eus attrapé,eus attrapé,eut attrapé,eûmes attrapé,eûtes attrapé,eurent attrapé,aie attrapé,ayons attrapé,ayez attrapé,attrapant
bavarder,to chat,False,bavarde,bavardes,bavarde,bavardons,bavardez,bavardent,bavardais,bavardais,bavardait,bavardions,bavardiez,bavardaient,bavardai,bavardas,bavarda,bavardâmes,bavardâtes,bavardèrent,bavarderai,bavarderas,bavardera,bavarderons,bavarderez,bavarderont,bavarderais,bavarderais,bavarderait,bavarderions,bavarderiez,bavarderaient,bavarde,bavardes,bavarde,bavardions,bavardiez,bavardent,bavardasse,bavardasses,bavardât,bavardassions,bavardassiez,bavardassent,bavarde,bavardons,bavardez,ai bavardé,as bavardé,a bavardé,avons bavardé,avez bavardé,ont bavardé,avais bavardé,avais bavardé,avait bavardé,avions bavardé,aviez bavardé,avaient bavardé,aurai bavardé,auras bavardé,aura bavardé,aurons bavardé,aurez bavardé,auront bavardé,aurais bavardé,aurais bavardé,aurait bavardé,aurions bavardé,auriez bavardé,auraient bavardé,aie bavardé,aies bavardé,ait bavardé,ayons bavardé,ayez bavardé,aient bavardé,eusse bavardé,eusses bavardé,eût bavardé,eussions bavardé,eussiez bavardé,eussent bavardé,eus bavardé,eus bavardé,eut bavardé,eûmes bavardé,eûtes bavardé,eurent bavardé,aie bavardé,ayons bavardé,ayez bavardé,bavardant
augmenter,to increase,False,augmente,augmentes,augmente,augmentons,augmentez,augmentent,augmentais,augmentais,augmentait,augmentions,augmentiez,augmentaient,augmentai,augmentas,augmenta,augmentâmes,augmentâtes,augmentèrent,augmenterai,augmenteras,augmentera,augmenterons,augmenterez,augmenteront,augmenterais,augmenterais,augmenterait,augmenterions,augmenteriez,augmenteraient,augmente,augmentes,augmente,augmentions,augmentiez,augmentent,augmentasse,augmentasses,augmentât,augmentassions,augmentassiez,augmentassent,augmente,augmentons,augmentez,ai augmenté,as augmenté,a augmenté,avons augmenté,avez augmenté,ont augmenté,avais augmenté,avais augmenté,avait augmenté,avions augmenté,aviez augmenté,avaient augmenté,aurai augmenté,auras augmenté,aura augmenté,aurons augmenté,aurez augmenté,auront augmenté,aurais augmenté,aurais augmenté,aurait augmenté,aurions augmenté,auriez augmenté,auraient augmenté,aie augmenté,aies augmenté,ait augmenté,ayons augmenté,ayez augmenté,aient augmenté,eusse augmenté,eusses augmenté,eût augmenté,eussions augmenté,eussiez augmenté,eussent augmenté,eus augmenté,eus augmenté,eut augmenté,eûmes augmenté,eûtes augmenté,eurent augmenté,aie augmenté,ayons augmenté,ayez augmenté,augmentant
avancer,to advance,False,avance,avances,avance,avançons,avancez,avancent,avançais,avançais,avançait,avancions,avanciez,avançaient,avançai,avanças,avança,avançâmes,avançâtes,avancèrent,avancerai,avanceras,avancera,avancerons,avancerez,avanceront,avancerais,avancerais,avancerait,avancerions,avanceriez,avanceraient,avance,avances,avance,avancions,avanciez,avancent,avançasse,avançasses,avançât,avançassions,avançassiez,avançassent,avance,avançons,avancez,ai avancé,as avancé,a avancé,avons avancé,avez avancé,ont avancé,avais avancé,avais avancé,avait avancé,avions avancé,aviez avancé,avaient avancé,aurai avancé,auras avancé,aura avancé,aurons avancé,aurez avancé,auront avancé,aurais avancé,aurais avancé,aurait avancé,aurions avancé,auriez avancé,auraient avancé,aie avancé,aies avancé,ait avancé,ayons avancé,ayez avancé,aient avancé,eusse avancé,eusses avancé,eût avancé,eussions avancé,eussiez avancé,eussent avancé,eus avancé,eus avancé,eut avancé,eûmes avancé,eûtes avancé,eurent avancé,aie avancé,ayons avancé,ayez avancé,avançant
boire,to drink,True,bois,bois,boit,buvons,buvez,boivent,buvais,buvais,buvait,buvions,buviez,buvaient,bus,bus,but,bûmes,bûtes,burent,boirai,boiras,boira,boirons,boirez,boiront,boirais,boirais,boirait,boirions,boiriez,boiraient,boive,boives,boive,buvions,buviez,boivent,busse,busses,bût,bussions,bussiez,bussent,bois,buvons,buvez,ai bu,as bu,a bu,avons bu,avez bu,ont bu,avais bu,avais bu,avait bu,avions bu,aviez bu,avaient bu,aurai bu,auras bu,aura bu,aurons bu,aurez bu,auront bu,aurais bu,aurais bu,aurait bu,aurions bu,auriez bu,auraient bu,aie bu,aies bu,ait bu,ayons bu,ayez bu,aient bu,eusse bu,eusses bu,eût bu,eussions bu,eussiez bu,eussent bu,eus bu,eus bu,eut bu,eûmes bu,eûtes bu,eurent bu,aie bu,ayons bu,ayez bu,buvant
briser,to break,False,brise,brises,brise,brisons,brisez,brisent,brisais,brisais,brisait,brisions,brisiez,brisaient,brisai,brisas,brisa,brisâmes,brisâtes,brisèrent,briserai,briseras,brisera,briserons,briserez,briseront,briserais,briserais,briserait,briserions,briseriez,briseraient,brise,brises,brise,brisions,brisiez,brisent,brisasse,brisasses,brisât,brisassions,brisassiez,brisassent,brise,brisons,brisez,ai brisé,as brisé,a brisé,avons brisé,avez brisé,ont brisé,avais brisé,avais brisé,avait brisé,avions brisé,aviez brisé,avaient brisé,aurai brisé,auras brisé,aura brisé,aurons brisé,aurez brisé,auront brisé,aurais brisé,aurais brisé,aurait brisé,aurions brisé,auriez brisé,auraient brisé,aie brisé,aies brisé,ait brisé,ayons brisé,ayez brisé,aient brisé,eusse brisé,eusses brisé,eût brisé,eussions brisé,eussiez brisé,eussent brisé,eus brisé,eus brisé,eut brisé,eûmes brisé,eûtes brisé,eurent brisé,aie brisé,ayons brisé,ayez brisé,brisant
cacher,to hide,False,cache,caches,cache,cachons,cachez,cachent,cachais,cachais,cachait,cachions,cachiez,cachaient,cachai,cachas,cacha,cachâmes,cachâtes,cachèrent,cacherai,cacheras,cachera,cacherons,cacherez,cacheront,cacherais,cacherais,cacherait,cacherions,cacheriez,cacheraient,cache,caches,cache,cachions,cachiez,cachent,cachasse,cachasses,cachât,cachassions,cachassiez,cachassent,cache,cachons,cachez,ai caché,as caché,a caché,avons caché,avez caché,ont caché,avais caché,avais caché,avait caché,avions caché,aviez caché,avaient caché,aurai caché,auras caché,aura caché,aurons caché,aurez caché,auront caché,aurais caché,aurais caché,aurait caché,aurions caché,auriez caché,auraient caché,aie caché,aies caché,ait caché,ayons caché,ayez caché,aient caché,eusse caché,eusses caché,eût caché,eussions caché,eussiez caché,eussent caché,eus caché,eus caché,eut caché,eûmes caché,eûtes caché,eurent caché,aie caché,ayons caché,ayez caché,cachant
bouger,to move,False,bouge,bouges,bouge,bougeons,bougez,bougent,bougeais,bougeais,bougeait,bougions,bougiez,bougeaient,bougeai,bougeas,bougea,bougeâmes,bougeâtes,bougèrent,bougerai,bougeras,bougera,bougerons,bougerez,bougeront,bougerais,bougerais,bougerait,bougerions,bougeriez,bougeraient,bouge,bouges,bouge,bougions,bougiez,bougent,bougeasse,bougeasses,bougeât,bougeassions,bougeassiez,bougeassent,bouge,bougeons,bougez,ai bougé,as bougé,a bougé,avons bougé,avez bougé,ont bougé,avais bougé,avais bougé,avait bougé,avions bougé,aviez bougé,avaient bougé,aurai bougé,auras bougé,aura bougé,aurons bougé,aurez bougé,auront bougé,aurais bougé,aurais bougé,aurait bougé,aurions bougé,auriez bougé,auraient bougé,aie bougé,aies bougé,ait bougé,ayons bougé,ayez bougé,aient bougé,eusse bougé,eusses bougé,eût bougé,eussions bougé,eussiez bougé,eussent bougé,eus bougé,eus bougé,eut bougé,eûmes bougé,eûtes bougé,eurent bougé,aie bougé,ayons bougé,ayez bougé,bougeant
blesser,"to hurt, offend",False,blesse,blesses,blesse,blessons,blessez,blessent,blessais,blessais,blessait,blessions,blessiez,blessaient,blessai,blessas,blessa,blessâmes,blessâtes,blessèrent,blesserai,blesseras,blessera,blesserons,blesserez,blesseront,blesserais,blesserais,blesserait,blesserions,blesseriez,blesseraient,blesse,blesses,blesse,blessions,blessiez,blessent,blessasse,blessasses,blessât,blessassions,blessassiez,blessassent,blesse,blessons,blessez,ai blessé,as blessé,a blessé,avons blessé,avez blessé,ont blessé,avais blessé,avais blessé,avait blessé,avions blessé,aviez blessé,avaient blessé,aurai blessé,auras blessé,aura blessé,aurons blessé,aurez blessé,auront blessé,aurais blessé,aurais blessé,aurait blessé,aurions blessé,auriez blessé,auraient blessé,aie blessé,aies blessé,ait blessé,ayons blessé,ayez blessé,aient blessé,eusse blessé,eusses blessé,eût blessé,eussions blessé,eussiez blessé,eussent blessé,eus blessé,eus blessé,eut blessé,eûmes blessé,eûtes blessé,eurent blessé,aie blessé,ayons blessé,ayez blessé,blessant
brûler,to burn,False,brûle,brûles,brûle,brûlons,brûlez,brûlent,brûlais,brûlais,brûlait,brûlions,brûliez,brûlaient,brûlai,brûlas,brûla,brûlâmes,brûlâtes,brûlèrent,brûlerai,brûleras,brûlera,brûlerons,brûlerez,brûleront,brûlerais,brûlerais,brûlerait,brûlerions,brûleriez,brûleraient,brûle,brûles,brûle,brûlions,brûliez,brûlent,brûlasse,brûlasses,brûlât,brûlassions,brûlassiez,brûlassent,brûle,brûlons,brûlez,ai brûlé,as brûlé,a brûlé,avons brûlé,avez brûlé,ont brûlé,avais brûlé,avais brûlé,avait brûlé,avions brûlé,aviez brûlé,avaient brûlé,aurai brûlé,auras brûlé,aura brûlé,aurons brûlé,aurez brûlé,auront brûlé,aurais brûlé,aurais brûlé,aurait brûlé,aurions brûlé,auriez brûlé,auraient brûlé,aie brûlé,aies brûlé,ait brûlé,ayons brûlé,ayez brûlé,aient brûlé,eusse brûlé,eusses brûlé,eût brûlé,eussions brûlé,eussiez brûlé,eussent brûlé,eus brûlé,eus brûlé,eut brûlé,eûmes brûlé,eûtes brûlé,eurent brûlé,aie brûlé,ayons brûlé,ayez brûlé,brûlant
blanchir,to bleach,False,blanchis,blanchis,blanchit,blanchissons,blanchissez,blanchissent,blanchissais,blanchissais,blanchissait,blanchissions,blanchissiez,blanchissaient,blanchis,blanchis,blanchit,blanchîmes,blanchîtes,blanchirent,blanchirai,blanchiras,blanchira,blanchirons,blanchirez,blanchiront,blanchirais,blanchirais,blanchirait,blanchirions,blanchiriez,blanchiraient,blanchisse,blanchisses,blanchisse,blanchissions,blanchissiez,blanchissent,blanchisse,blanchisses,blanchît,blanchissions,blanchissiez,blanchissent,blanchis,blanchissons,blanchissez,ai blanchi,as blanchi,a blanchi,avons blanchi,avez blanchi,ont blanchi,avais blanchi,avais blanchi,avait blanchi,avions blanchi,aviez blanchi,avaient blanchi,aurai blanchi,auras blanchi,aura blanchi,aurons blanchi,aurez blanchi,auront blanchi,aurais blanchi,aurais blanchi,aurait blanchi,aurions blanchi,auriez blanchi,auraient blanchi,aie blanchi,aies blanchi,ait blanchi,ayons blanchi,ayez blanchi,aient blanchi,eusse blanchi,eusses blanchi,eût blanchi,eussions blanchi,eussiez blanchi,eussent blanchi,eus blanchi,eus blanchi,eut blanchi,eûmes blanchi,eûtes blanchi,eurent blanchi,aie blanchi,ayons blanchi,ayez blanchi,blanchissant
broyer,to grind,False,broie,broies,broie,broyons,broyez,broient,broyais,broyais,broyait,broyions,broyiez,broyaient,broyai,broyas,broya,broyâmes,broyâtes,broyèrent,broierai,broieras,broiera,broierons,broierez,broieront,broierais,broierais,broierait,broierions,broieriez,broieraient,broie,broies,broie,broyions,broyiez,broient,broyasse,broyasses,broyât,broyassions,broyassiez,broyassent,broie,broyons,broyez,ai broyé,as broyé,a broyé,avons broyé,avez broyé,ont broyé,avais broyé,avais broyé,avait broyé,avions broyé,aviez broyé,avaient broyé,aurai broyé,auras broyé,aura broyé,aurons broyé,aurez broyé,auront broyé,aurais broyé,aurais broyé,aurait broyé,aurions broyé,auriez broyé,auraient broyé,aie broyé,aies broyé,ait broyé,ayons broyé,ayez broyé,aient broyé,eusse broyé,eusses broyé,eût broyé,eussions broyé,eussiez broyé,eussent broyé,eus broyé,eus broyé,eut broyé,eûmes broyé,eûtes broyé,eurent broyé,aie broyé,ayons broyé,ayez broyé,broyant
brosser,to brush,False,brosse,brosses,brosse,brossons,brossez,brossent,brossais,brossais,brossait,brossions,brossiez,brossaient,brossai,brossas,brossa,brossâmes,brossâtes,brossèrent,brosserai,brosseras,brossera,brosserons,brosserez,brosseront,brosserais,brosserais,brosserait,brosserions,brosseriez,brosseraient,brosse,brosses,brosse,brossions,brossiez,brossent,brossasse,brossasses,brossât,brossassions,brossassiez,brossassent,brosse,brossons,brossez,ai brossé,as brossé,a brossé,avons brossé,avez brossé,ont brossé,avais brossé,avais brossé,avait brossé,avions brossé,aviez brossé,avaient brossé,aurai brossé,auras brossé,aura brossé,aurons brossé,aurez brossé,auront brossé,aurais brossé,aurais brossé,aurait brossé,aurions brossé,auriez brossé,auraient brossé,aie brossé,aies brossé,ait brossé,ayons brossé,ayez brossé,aient brossé,eusse brossé,eusses brossé,eût brossé,eussions brossé,eussiez brossé,eussent brossé,eus brossé,eus brossé,eut brossé,eûmes brossé,eûtes brossé,eurent brossé,aie brossé,ayons brossé,ayez brossé,brossant
bouillir,to boil,True,bous,bous,bout,bouillons,bouillez,bouillent,bouillais,bouillais,bouillait,bouillions,bouilliez,bouillaient,bouillis,bouillis,bouillit,bouillîmes,bouillîtes,bouillirent,bouillirai,bouilliras,bouillira,bouillirons,bouillirez,bouilliront,bouillirais,bouillirais,bouillirait,bouillirions,bouilliriez,bouilliraient,bouille,bouilles,bouille,bouillions,bouilliez,bouillent,bouillisse,bouillisses,bouillît,bouillissions,bouillissiez,bouillissent,bous,bouillons,bouillez,ai bouilli,as bouilli,a bouilli,avons bouilli,avez bouilli,ont bouilli,avais bouilli,avais bouilli,avait bouilli,avions bouilli,aviez bouilli,avaient bouilli,aurai bouilli,auras bouilli,aura bouilli,aurons bouilli,aurez bouilli,auront bouilli,aurais bouilli,aurais bouilli,aurait bouilli,aurions bouilli,auriez bouilli,auraient bouilli,aie bouilli,aies bouilli,ait bouilli,ayons bouilli,ayez bouilli,aient bouilli,eusse bouilli,eusses bouilli,eût bouilli,eussions bouilli,eussiez bouilli,eussent bouilli,eus bouilli,eus bouilli,eut bouilli,eûmes bouilli,eûtes bouilli,eurent bouilli,aie bouilli,ayons bouilli,ayez bouilli,bouillant
causer,"to chat, cause",False,cause,causes,cause,causons,causez,causent,causais,causais,causait,causions,causiez,causaient,causai,causas,causa,causâmes,causâtes,causèrent,causerai,causeras,causera,causerons,causerez,causeront,causerais,causerais,causerait,causerions,causeriez,causeraient,cause,causes,cause,causions,causiez,causent,causasse,causasses,causât,causassions,causassiez,causassent,cause,causons,causez,ai causé,as causé,a causé,avons causé,avez causé,ont causé,avais causé,avais causé,avait causé,avions causé,aviez causé,avaient causé,aurai causé,auras causé,aura causé,aurons causé,aurez causé,auront causé,aurais causé,aurais causé,aurait causé,aurions causé,auriez causé,auraient causé,aie causé,aies causé,ait causé,ayons causé,ayez causé,aient causé,eusse causé,eusses causé,eût causé,eussions causé,eussiez causé,eussent causé,eus causé,eus causé,eut causé,eûmes causé,eûtes causé,eurent causé,aie causé,ayons causé,ayez causé,causant
chérir,to cherish,False,chéris,chéris,chérit,chérissons,chérissez,chérissent,chérissais,chérissais,chérissait,chérissions,chérissiez,chérissaient,chéris,chéris,chérit,chérîmes,chérîtes,chérirent,chérirai,chériras,chérira,chérirons,chérirez,chériront,chérirais,chérirais,chérirait,chéririons,chéririez,chériraient,chérisse,chérisses,chérisse,chérissions,chérissiez,chérissent,chérisse,chérisses,chérît,chérissions,chérissiez,chérissent,chéris,chérissons,chérissez,ai chéri,as chéri,a chéri,avons chéri,avez chéri,ont chéri,avais chéri,avais chéri,avait chéri,avions chéri,aviez chéri,avaient chéri,aurai chéri,auras chéri,aura chéri,aurons chéri,aurez chéri,auront chéri,aurais chéri,aurais chéri,aurait chéri,aurions chéri,auriez chéri,auraient chéri,aie chéri,aies chéri,ait chéri,ayons chéri,ayez chéri,aient chéri,eusse chéri,eusses chéri,eût chéri,eussions chéri,eussiez chéri,eussent chéri,eus chéri,eus chéri,eut chéri,eûmes chéri,eûtes chéri,eurent chéri,aie chéri,ayons chéri,ayez chéri,chérissant
célébrer,to celebrate,False,célèbre,célèbres,célèbre,célébrons,célébrez,célèbrent,célébrais,célébrais,célébrait,célébrions,célébriez,célébraient,célébrai,célébras,célébra,célébrâmes,célébrâtes,célébrèrent,célèbrerai;célébrerai,célèbreras;célébreras,célèbrera;célébrera,célèbrerons;célébrerons,célèbrerez;célébrerez,célèbreront;célébreront,célèbrerais;célébrerais,célèbrerais;célébrerais,célèbrerait;célébrerait,célèbrerions;célébrerions,célèbreriez;célébreriez,célèbreraient;célébreraient,célèbre,célèbres,célèbre,célébrions,célébriez,célèbrent,célébrasse,célébrasses,célébrât,célébrassions,célébrassiez,célébrassent,célèbre,célébrons,célébrez,ai célébré,as célébré,a célébré,avons célébré,avez célébré,ont célébré,avais célébré,avais célébré,avait célébré,avions célébré,aviez célébré,avaient célébré,aurai célébré,auras célébré,aura célébré,aurons célébré,aurez célébré,auront célébré,aurais célébré,aurais célébré,aurait célébré,aurions célébré,auriez célébré,auraient célébré,aie célébré,aies célébré,ait célébré,ayons célébré,ayez célébré,aient célébré,eusse célébré,eusses célébré,eût célébré,eussions célébré,eussiez célébré,eussent célébré,eus célébré,eus célébré,eut célébré,eûmes célébré,eûtes célébré,eurent célébré,aie célébré,ayons célébré,ayez célébré,célébrant
casser,to break,False,casse,casses,casse,cassons,cassez,cassent,cassais,cassais,cassait,cassions,cassiez,cassaient,cassai,cassas,cassa,cassâmes,cassâtes,cassèrent,casserai,casseras,cassera,casserons,casserez,casseront,casserais,casserais,casserait,casserions,casseriez,casseraient,casse,casses,casse,cassions,cassiez,cassent,cassasse,cassasses,cassât,cassassions,cassassiez,cassassent,casse,cassons,cassez,ai cassé,as cassé,a cassé,avons cassé,avez cassé,ont cassé,avais cassé,avais cassé,avait cassé,avions cassé,aviez cassé,avaient cassé,aurai cassé,auras cassé,aura cassé,aurons cassé,aurez cassé,auront cassé,aurais cassé,aurais cassé,aurait cassé,aurions cassé,auriez cassé,auraient cassé,aie cassé,aies cassé,ait cassé,ayons cassé,ayez cassé,aient cassé,eusse cassé,eusses cassé,eût cassé,eussions cassé,eussiez cassé,eussent cassé,eus cassé,eus cassé,eut cassé,eûmes cassé,eûtes cassé,eurent cassé,aie cassé,ayons cassé,ayez cassé,cassant
