infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
criar,to raise,crío,crías,cría,criamos,criáis,crían,criaré,criarás,criará,criaremos,criaréis,criarán,criaba,criabas,criaba,criábamos,criabais,criaban,crié,criaste,crio,criamos,criasteis,criaron,criaría,criarías,criaría,criaríamos,criaríais,criarían,he criado,has criado,ha criado,hemos criado,habéis criado,han criado,habré criado,habrás criado,habrá criado,habremos criado,habréis criado,habrán criado,había criado,habías criado,había criado,habíamos criado,habíais criado,habían criado,hube criado,hubiste criado,hubo criado,hubimos criado,hubisteis criado,hubieron criado,habría criado,habrías criado,habría criado,habríamos criado,habríais criado,habrían criado,críe,críes,críe,criemos,criéis,críen,criara,criaras,criara,criáramos,criarais,criaran,criare,criares,criare,criáremos,criareis,criaren,haya criado,hayas criado,haya criado,hayamos criado,hayáis criado,hayan criado,hubiere criado,hubieres criado,hubiere criado,hubiéremos criado,hubiereis criado,hubieren criado,hubiera criado,hubieras criado,hubiera criado,hubiéramos criado,hubierais criado,hubieran criado,N/A,cría,criad,N/A,críe,críen,N/A,no críes,no criéis,N/A,no críe,no críen
criarse,to grow OR to be brought up,me crío,te crías,se cría,nos criamos,os criáis,se crían,me criaré,te criarás,se criará,nos criaremos,os criaréis,se criarán,me criaba,te criabas,se criaba,nos criábamos,os criabais,se criaban,me crié,te criaste,se crio,nos criamos,os criasteis,se criaron,me criaría,te criarías,se criaría,nos criaríamos,os criaríais,se criarían,me he criado,te has criado,se ha criado,nos hemos criado,os habéis criado,se han criado,me habré criado,te habrás criado,se habrá criado,nos habremos criado,os habréis criado,se habrán criado,me había criado,te habías criado,se había criado,nos habíamos criado,os habíais criado,se habían criado,me hube criado,te hubiste criado,se hubo criado,nos hubimos criado,os hubisteis criado,se hubieron criado,me habría criado,te habrías criado,se habría criado,nos habríamos criado,os habríais criado,se habrían criado,me críe,te críes,se críe,nos criemos,os criéis,se críen,me criara,te criaras,se criara,nos criáramos,os criarais,se criaran,me criare,te criares,se criare,nos criáremos,os criareis,se criaren,me haya criado,te hayas criado,se haya criado,nos hayamos criado,os hayáis criado,se hayan criado,me hubiere criado,te hubieres criado,se hubiere criado,nos hubiéremos criado,os hubiereis criado,se hubieren criado,me hubiera criado,te hubieras criado,se hubiera criado,nos hubiéramos criado,os hubierais criado,se hubieran criado,N/A,críate,criaos,N/A,críese,críense,N/A,no te críes,no os criéis,N/A,no se críe,no se críen
criticar,to criticize,critico,criticas,critica,criticamos,criticáis,critican,criticaré,criticarás,criticará,criticaremos,criticaréis,criticarán,criticaba,criticabas,criticaba,criticábamos,criticabais,criticaban,critiqué,criticaste,criticó,criticamos,criticasteis,criticaron,criticaría,criticarías,criticaría,criticaríamos,criticaríais,criticarían,he criticado,has criticado,ha criticado,hemos criticado,habéis criticado,han criticado,habré criticado,habrás criticado,habrá criticado,habremos criticado,habréis criticado,habrán criticado,había criticado,habías criticado,había criticado,habíamos criticado,habíais criticado,habían criticado,hube criticado,hubiste criticado,hubo criticado,hubimos criticado,hubisteis criticado,hubieron criticado,habría criticado,habrías criticado,habría criticado,habríamos criticado,habríais criticado,habrían criticado,critique,critiques,critique,critiquemos,critiquéis,critiquen,criticara,criticaras,criticara,criticáramos,criticarais,criticaran,criticare,criticares,criticare,criticáremos,criticareis,criticaren,haya criticado,hayas criticado,haya criticado,hayamos criticado,hayáis criticado,hayan criticado,hubiere criticado,hubieres criticado,hubiere criticado,hubiéremos criticado,hubiereis criticado,hubieren criticado,hubiera criticado,hubieras criticado,hubiera criticado,hubiéramos criticado,hubierais criticado,hubieran criticado,N/A,critica,criticad,N/A,critique,critiquen,N/A,no critiques,no critiquéis,N/A,no critique,no critiquen
crucificar,to crucify,crucifico,crucificas,crucifica,crucificamos,crucificáis,crucifican,crucificaré,crucificarás,crucificará,crucificaremos,crucificaréis,crucificarán,crucificaba,crucificabas,crucificaba,crucificábamos,crucificabais,crucificaban,crucifiqué,crucificaste,crucificó,crucificamos,crucificasteis,crucificaron,crucificaría,crucificarías,crucificaría,crucificaríamos,crucificaríais,crucificarían,he crucificado,has crucificado,ha crucificado,hemos crucificado,habéis crucificado,han crucificado,habré crucificado,habrás crucificado,habrá crucificado,habremos crucificado,habréis crucificado,habrán crucificado,cuidé,cuidaste,cuidó,cuidamos,cuidasteis,cuidaron,había crucificado,habías crucificado,había crucificado,habíamos crucificado,habíais crucificado,habían crucificado,hube crucificado,hubiste crucificado,hubo crucificado,hubimos crucificado,hubisteis crucificado,hubieron crucificado,habría crucificado,habrías crucificado,habría crucificado,habríamos crucificado,habríais crucificado,habrían crucificado,crucifique,crucifiques,crucifique,crucifiquemos,crucifiquéis,crucifiquen,crucificara,crucificaras,crucificara,crucificáramos,crucificarais,crucificaran,crucificare,crucificares,crucificare,crucificáremos,crucificareis,crucificaren,haya crucificado,hayas crucificado,haya crucificado,hayamos crucificado,hayáis crucificado,hayan crucificado,hubiere crucificado,hubieres crucificado,hubiere crucificado,hubiéremos crucificado,hubiereis crucificado,hubieren crucificado,hubiera crucificado,hubieras crucificado,hubiera crucificado,hubiéramos crucificado,hubierais crucificado,hubieran crucificado,N/A,crucifica,crucificad,N/A,crucifique,crucifiquen
cuidar,to take care of/look after,cuidé,cuidaste,cuidó,cuidamos,cuidasteis,cuidaron,cruzo,cruzas,cruza,cruzamos,cruzáis,cruzan,cruzaré,cruzarás,cruzará,cruzaremos,cruzaréis,cruzarán,cruzaba,cruzabas,cruzaba,cruzábamos,cruzabais,cruzaban,crucé,cruzaste,cruzó,cruzamos,cruzasteis,cruzaron,cruzaría,cruzarías,cruzaría,cruzaríamos,cruzaríais,cruzarían,he cruzado,has cruzado,ha cruzado,hemos cruzado,habéis cruzado,han cruzado,habré cruzado,habrás cruzado,habrá cruzado,habremos cruzado,habréis cruzado,habrán cruzado,había cruzado,habías cruzado,había cruzado,habíamos cruzado,habíais cruzado,habían cruzado,hube cruzado,hubiste cruzado,hubo cruzado,hubimos cruzado,hubisteis cruzado,hubieron cruzado,habría cruzado,habrías cruzado,habría cruzado,habríamos cruzado,habríais cruzado,habrían cruzado,cruce,cruces,cruce,crucemos,crucéis,crucen,cruzara,cruzaras,cruzara,cruzáramos,cruzarais,cruzaran,cruzare,cruzares,cruzare,cruzáremos,cruzareis,cruzaren,haya cruzado,hayas cruzado,haya cruzado,hayamos cruzado,hayáis cruzado,hayan cruzado,hubiere cruzado,hubieres cruzado,hubiere cruzado,hubiéremos cruzado,hubiereis cruzado,hubieren cruzado,hubiera cruzado,hubieras cruzado,hubiera cruzado,hubiéramos cruzado,hubierais cruzado,hubieran cruzado,N/A,cruza,cruzad,N/A,cruce,crucen
cruzar,to cross,cruzo,cruzas,cruza,cruzamos,cruzáis,cruzan,cubro,cubres,cubre,cubrimos,cubrís,cubren,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán,cubría,cubrías,cubría,cubríamos,cubríais,cubrían,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron,cubriría,cubrirías,cubriría,cubriríamos,cubriríais,cubrirían,he cubierto,has cubierto,ha cubierto,hemos cubierto,habéis cubierto,han cubierto,habré cubierto,habrás cubierto,habrá cubierto,habremos cubierto,habréis cubierto,habrán cubierto,había cubierto,habías cubierto,había cubierto,habíamos cubierto,habíais cubierto,habían cubierto,hube cubierto,hubiste cubierto,hubo cubierto,hubimos cubierto,hubisteis cubierto,hubieron cubierto,habría cubierto,habrías cubierto,habría cubierto,habríamos cubierto,habríais cubierto,habrían cubierto,cubra,cubras,cubra,cubramos,cubráis,cubran,cubriera,cubrieras,cubriera,cubriéramos,cubrierais,cubrieran,cubriere,cubrieres,cubriere,cubriéremos,cubriereis,cubrieren,haya cubierto,hayas cubierto,haya cubierto,hayamos cubierto,hayáis cubierto,hayan cubierto,hubiere cubierto,hubieres cubierto,hubiere cubierto,hubiéremos cubierto,hubiereis cubierto,hubieren cubierto,hubiera cubierto,hubieras cubierto,hubiera cubierto,hubiéramos cubierto,hubierais cubierto,hubieran cubierto,N/A,cubre,cubrid,N/A,cubra,cubran
cubrir,to cover,cubro,cubres,cubre,cubrimos,cubrís,cubren,cuido,cuidas,cuida,cuidamos,cuidáis,cuidan,cuidaré,cuidarás,cuidará,cuidaremos,cuidaréis,cuidarán,cuidaba,cuidabas,cuidaba,cuidábamos,cuidabais,cuidaban,cuidaría,cuidarías,cuidaría,cuidaríamos,cuidaríais,cuidarían,he cuidado,has cuidado,ha cuidado,hemos cuidado,habéis cuidado,han cuidado,habré cuidado,habrás cuidado,habrá cuidado,habremos cuidado,habréis cuidado,habrán cuidado,había cuidado,habías cuidado,había cuidado,habíamos cuidado,habíais cuidado,habían cuidado,hube cuidado,hubiste cuidado,hubo cuidado,hubimos cuidado,hubisteis cuidado,hubieron cuidado,habría cuidado,habrías cuidado,habría cuidado,habríamos cuidado,habríais cuidado,habrían cuidado,cuide,cuides,cuide,cuidemos,cuidéis,cuiden,cuidara,cuidaras,cuidara,cuidáramos,cuidarais,cuidaran,cuidare,cuidares,cuidare,cuidáremos,cuidareis,cuidaren,haya cuidado,hayas cuidado,haya cuidado,hayamos cuidado,hayáis cuidado,hayan cuidado,hubiere cuidado,hubieres cuidado,hubiere cuidado,hubiéremos cuidado,hubiereis cuidado,hubieren cuidado,hubiera cuidado,hubieras cuidado,hubiera cuidado,hubiéramos cuidado,hubierais cuidado,hubieran cuidado,N/A,cuida,cuidad,N/A,cuide,cuiden,N/A,no cuides,no cuidéis,N/A,no cuide,no cuiden
culpar,to blame/accuse OR to condemn,culpo,culpas,culpa,culpamos,culpáis,culpan,culparé,culparás,culpará,culparemos,culparéis,culparán,culpaba,culpabas,culpaba,culpábamos,culpabais,culpaban,culpé,culpaste,culpó,culpamos,culpasteis,culparon,culparía,culparías,culparía,culparíamos,culparíais,culparían,he culpado,has culpado,ha culpado,hemos culpado,habéis culpado,han culpado,habré culpado,habrás culpado,habrá culpado,habremos culpado,habréis culpado,habrán culpado,había culpado,habías culpado,había culpado,habíamos culpado,habíais culpado,habían culpado,hube culpado,hubiste culpado,hubo culpado,hubimos culpado,hubisteis culpado,hubieron culpado,habría culpado,habrías culpado,habría culpado,habríamos culpado,habríais culpado,habrían culpado,culpe,culpes,culpe,culpemos,culpéis,culpen,culpara,culparas,culpara,culpáramos,culparais,culparan,culpare,culpares,culpare,culpáremos,culpareis,culparen,haya culpado,hayas culpado,haya culpado,hayamos culpado,hayáis culpado,hayan culpado,hubiere culpado,hubieres culpado,hubiere culpado,hubiéremos culpado,hubiereis culpado,hubieren culpado,hubiera culpado,hubieras culpado,hubiera culpado,hubiéramos culpado,hubierais culpado,hubieran culpado,N/A,culpa,culpad,N/A,culpe,culpen,N/A,no culpes,no culpéis,N/A,no culpe,no culpen
cultivar,to cultivate OR to grow,cultivo,cultivas,cultiva,cultivamos,cultiváis,cultivan,cultivaré,cultivarás,cultivará,cultivaremos,cultivaréis,cultivarán,cultivaba,cultivabas,cultivaba,cultivábamos,cultivabais,cultivaban,cultivé,cultivaste,cultivó,cultivamos,cultivasteis,cultivaron,cultivaría,cultivarías,cultivaría,cultivaríamos,cultivaríais,cultivarían,he cultivado,has cultivado,ha cultivado,hemos cultivado,habéis cultivado,han cultivado,habré cultivado,habrás cultivado,habrá cultivado,habremos cultivado,habréis cultivado,habrán cultivado,había cultivado,habías cultivado,había cultivado,habíamos cultivado,habíais cultivado,habían cultivado,hube cultivado,hubiste cultivado,hubo cultivado,hubimos cultivado,hubisteis cultivado,hubieron cultivado,habría cultivado,habrías cultivado,habría cultivado,habríamos cultivado,habríais cultivado,habrían cultivado,cultive,cultives,cultive,cultivemos,cultivéis,cultiven,cultivara,cultivaras,cultivara,cultiváramos,cultivarais,cultivaran,cultivare,cultivares,cultivare,cultiváremos,cultivareis,cultivaren,haya cultivado,hayas cultivado,haya cultivado,hayamos cultivado,hayáis cultivado,hayan cultivado,hubiere cultivado,hubieres cultivado,hubiere cultivado,hubiéremos cultivado,hubiereis cultivado,hubieren cultivado,hubiera cultivado,hubieras cultivado,hubiera cultivado,hubiéramos cultivado,hubierais cultivado,hubieran cultivado,N/A,cultiva,cultivad,N/A,cultive,cultiven,N/A,no cultives,no cultivéis,N/A,no cultive,no cultiven
cumplir,to fulfil/carry out OR to reach,cumplo,cumples,cumple,cumplimos,cumplís,cumplen,cumpliré,cumplirás,cumplirá,cumpliremos,cumpliréis,cumplirán,cumplía,cumplías,cumplía,cumplíamos,cumplíais,cumplían,cumplí,cumpliste,cumplió,cumplimos,cumplisteis,cumplieron,cumpliría,cumplirías,cumpliría,cumpliríamos,cumpliríais,cumplirían,he cumplido,has cumplido,ha cumplido,hemos cumplido,habéis cumplido,han cumplido,habré cumplido,habrás cumplido,habrá cumplido,habremos cumplido,habréis cumplido,habrán cumplido,había cumplido,habías cumplido,había cumplido,habíamos cumplido,habíais cumplido,habían cumplido,hube cumplido,hubiste cumplido,hubo cumplido,hubimos cumplido,hubisteis cumplido,hubieron cumplido,habría cumplido,habrías cumplido,habría cumplido,habríamos cumplido,habríais cumplido,habrían cumplido,cumpla,cumplas,cumpla,cumplamos,cumpláis,cumplan,cumpliera,cumplieras,cumpliera,cumpliéramos,cumplierais,cumplieran,cumpliere,cumplieres,cumpliere,cumpliéremos,cumpliereis,cumplieren,haya cumplido,hayas cumplido,haya cumplido,hayamos cumplido,hayáis cumplido,hayan cumplido,hubiere cumplido,hubieres cumplido,hubiere cumplido,hubiéremos cumplido,hubiereis cumplido,hubieren cumplido,hubiera cumplido,hubieras cumplido,hubiera cumplido,hubiéramos cumplido,hubierais cumplido,hubieran cumplido,N/A,cumple,cumplid,N/A,cumpla,cumplan,N/A,no cumplas,no cumpláis,N/A,no cumpla,no cumplan
curar,to cure OR to treat/dress,curo,curas,cura,curamos,curáis,curan,curaré,curarás,curará,curaremos,curaréis,curarán,curaba,curabas,curaba,curábamos,curabais,curaban,curé,curaste,curó,curamos,curasteis,curaron,curaría,curarías,curaría,curaríamos,curaríais,curarían,he curado,has curado,ha curado,hemos curado,habéis curado,han curado,habré curado,habrás curado,habrá curado,habremos curado,habréis curado,habrán curado,había curado,habías curado,había curado,habíamos curado,habíais curado,habían curado,hube curado,hubiste curado,hubo curado,hubimos curado,hubisteis curado,hubieron curado,habría curado,habrías curado,habría curado,habríamos curado,habríais curado,habrían curado,cure,cures,cure,curemos,curéis,curen,curara,curaras,curara,curáramos,curarais,curaran,curare,curares,curare,curáremos,curareis,curaren,haya curado,hayas curado,haya curado,hayamos curado,hayáis curado,hayan curado,hubiere curado,hubieres curado,hubiere curado,hubiéremos curado,hubiereis curado,hubieren curado,hubiera curado,hubieras curado,hubiera curado,hubiéramos curado,hubierais curado,hubieran curado,N/A,cura,curad,N/A,cure,curen,N/A,no cures,no curéis,N/A,no cure,no curen
dar,to give,doy,das,da,damos,dais,dan,daré,darás,dará,daremos,daréis,darán,daba,dabas,daba,dábamos,dabais,daban,di,diste,dio,dimos,disteis,dieron,daría,darías,daría,daríamos,daríais,darían,he dado,has dado,ha dado,hemos dado,habéis dado,han dado,habré dado,habrás dado,habrá dado,habremos dado,habréis dado,habrán dado,había dado,habías dado,había dado,habíamos dado,habíais dado,habían dado,hube dado,hubiste dado,hubo dado,hubimos dado,hubisteis dado,hubieron dado,habría dado,habrías dado,habría dado,habríamos dado,habríais dado,habrían dado,dé,des,dé,demos,deis,den,diera,dieras,diera,diéramos,dierais,dieran,diere,dieres,diere,diéremos,diereis,dieren,haya dado,hayas dado,haya dado,hayamos dado,hayáis dado,hayan dado,hubiere dado,hubieres dado,hubiere dado,hubiéremos dado,hubiereis dado,hubieren dado,hubiera dado,hubieras dado,hubiera dado,hubiéramos dado,hubierais dado,hubieran dado,N/A,da,dad,N/A,dé,den,N/A,no des,no deis,N/A,no dé,no den
