infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,imperative 1p-s,past imperative 2p-s,imperative 3p-s,past imperative 1p-p,past imperative 2p-p,imperative 3p-p,gerund
noircir,to blacken,FALSE,noircis,noircis,noircit,noircissons,noircissez,noircissent,noircissais,noircissais,noircissait,noircissions,noircissiez,noircissaient,noircis,noircis,noircit,noircîmes,noircîtes,noircirent,noircirai,noirciras,noircira,noircirons,noircirez,noirciront,noircirais,noircirais,noircirait,noircirions,noirciriez,noirciraient,noircisse,noircisses,noircisse,noircissions,noircissiez,noircissent,noircisse,noircisses,noircît,noircissions,noircissiez,noircissent,N/A,noircis,N/A,noircissons,noircissez,N/A,ai noirci,as noirci,a noirci,avons noirci,avez noirci,ont noirci,avais noirci,avais noirci,avait noirci,avions noirci,aviez noirci,avaient noirci,aurai noirci,auras noirci,aura noirci,aurons noirci,aurez noirci,auront noirci,aurais noirci,aurais noirci,aurait noirci,aurions noirci,auriez noirci,auraient noirci,aie noirci,aies noirci,ait noirci,ayons noirci,ayez noirci,aient noirci,eusse noirci,eusses noirci,eût noirci,eussions noirci,eussiez noirci,eussent noirci,eus noirci,eus noirci,eut noirci,eûmes noirci,eûtes noirci,eurent noirci,N/A,aie noirci,N/A,ayons noirci,ayez noirci,N/A,noircissant
nettoyer,to clean,FALSE,nettoie,nettoies,nettoie,nettoyons,nettoyez,nettoient,nettoyais,nettoyais,nettoyait,nettoyions,nettoyiez,nettoyaient,nettoyai,nettoyas,nettoya,nettoyâmes,nettoyâtes,nettoyèrent,nettoierai,nettoieras,nettoiera,nettoierons,nettoierez,nettoieront,nettoierais,nettoierais,nettoierait,nettoierions,nettoieriez,nettoieraient,nettoie,nettoies,nettoie,nettoyions,nettoyiez,nettoient,nettoyasse,nettoyasses,nettoyât,nettoyassions,nettoyassiez,nettoyassent,N/A,nettoie,N/A,nettoyons,nettoyez,N/A,ai nettoyé,as nettoyé,a nettoyé,avons nettoyé,avez nettoyé,ont nettoyé,avais nettoyé,avais nettoyé,avait nettoyé,avions nettoyé,aviez nettoyé,avaient nettoyé,aurai nettoyé,auras nettoyé,aura nettoyé,aurons nettoyé,aurez nettoyé,auront nettoyé,aurais nettoyé,aurais nettoyé,aurait nettoyé,aurions nettoyé,auriez nettoyé,auraient nettoyé,aie nettoyé,aies nettoyé,ait nettoyé,ayons nettoyé,ayez nettoyé,aient nettoyé,eusse nettoyé,eusses nettoyé,eût nettoyé,eussions nettoyé,eussiez nettoyé,eussent nettoyé,eus nettoyé,eus nettoyé,eut nettoyé,eûmes nettoyé,eûtes nettoyé,eurent nettoyé,N/A,aie nettoyé,N/A,ayons nettoyé,ayez nettoyé,N/A,nettoyant
nuire,to harm,TRUE,nuis,nuis,nuit,nuisons,nuisez,nuisent,nuisais,nuisais,nuisait,nuisions,nuisiez,nuisaient,nuisis,nuisis,nuisit,nuisîmes,nuisîtes,nuisirent,nuirai,nuiras,nuira,nuirons,nuirez,nuiront,nuirais,nuirais,nuirait,nuirions,nuiriez,nuiraient,nuise,nuises,nuise,nuisions,nuisiez,nuisent,nuisisse,nuisisses,nuisît,nuisissions,nuisissiez,nuisissent,N/A,nuis,N/A,nuisons,nuisez,N/A,ai nui,as nui,a nui,avons nui,avez nui,ont nui,avais nui,avais nui,avait nui,avions nui,aviez nui,avaient nui,aurai nui,auras nui,aura nui,aurons nui,aurez nui,auront nui,aurais nui,aurais nui,aurait nui,aurions nui,auriez nui,auraient nui,aie nui,aies nui,ait nui,ayons nui,ayez nui,aient nui,eusse nui,eusses nui,eût nui,eussions nui,eussiez nui,eussent nui,eus nui,eus nui,eut nui,eûmes nui,eûtes nui,eurent nui,N/A,aie nui,N/A,ayons nui,ayez nui,N/A,nuisant
nourrir,to feed,FALSE,nourris,nourris,nourrit,nourrissons,nourrissez,nourrissent,nourrissais,nourrissais,nourrissait,nourrissions,nourrissiez,nourrissaient,nourris,nourris,nourrit,nourrîmes,nourrîtes,nourrirent,nourrirai,nourriras,nourrira,nourrirons,nourrirez,nourriront,nourrirais,nourrirais,nourrirait,nourririons,nourririez,nourriraient,nourrisse,nourrisses,nourrisse,nourrissions,nourrissiez,nourrissent,nourrisse,nourrisses,nourrît,nourrissions,nourrissiez,nourrissent,N/A,nourris,N/A,nourrissons,nourrissez,N/A,ai nourri,as nourri,a nourri,avons nourri,avez nourri,ont nourri,avais nourri,avais nourri,avait nourri,avions nourri,aviez nourri,avaient nourri,aurai nourri,auras nourri,aura nourri,aurons nourri,aurez nourri,auront nourri,aurais nourri,aurais nourri,aurait nourri,aurions nourri,auriez nourri,auraient nourri,aie nourri,aies nourri,ait nourri,ayons nourri,ayez nourri,aient nourri,eusse nourri,eusses nourri,eût nourri,eussions nourri,eussiez nourri,eussent nourri,eus nourri,eus nourri,eut nourri,eûmes nourri,eûtes nourri,eurent nourri,N/A,aie nourri,N/A,ayons nourri,ayez nourri,N/A,nourrissant
monter,to climb,FALSE,monte,montes,monte,montons,montez,montent,montais,montais,montait,montions,montiez,montaient,montai,montas,monta,montâmes,montâtes,montèrent,monterai,monteras,montera,monterons,monterez,monteront,monterais,monterais,monterait,monterions,monteriez,monteraient,monte,montes,monte,montions,montiez,montent,montasse,montasses,montât,montassions,montassiez,montassent,N/A,monte,N/A,montons,montez,N/A,ai monté,as monté,a monté,avons monté,avez monté,ont monté,avais monté,avais monté,avait monté,avions monté,aviez monté,avaient monté,aurai monté,auras monté,aura monté,aurons monté,aurez monté,auront monté,aurais monté,aurais monté,aurait monté,aurions monté,auriez monté,auraient monté,aie monté,aies monté,ait monté,ayons monté,ayez monté,aient monté,eusse monté,eusses monté,eût monté,eussions monté,eussiez monté,eussent monté,eus monté,eus monté,eut monté,eûmes monté,eûtes monté,eurent monté,N/A,aie monté,N/A,ayons monté,ayez monté,N/A,montant
modérer,to moderate,FALSE,modère,modères,modère,modérons,modérez,modèrent,modérais,modérais,modérait,modérions,modériez,modéraient,modérai,modéras,modéra,modérâmes,modérâtes,modérèrent,modèrerai;modérerai,modèreras;modéreras,modèrera;modérera,modèrerons;modérerons,modèrerez;modérerez,modèreront;modéreront,modèrerais;modérerais,modèrerais;modérerais,modèrerait;modérerait,modèrerions;modérerions,modèreriez;modéreriez,modèreraient;modéreraient,modère,modères,modère,modérions,modériez,modèrent,modérasse,modérasses,modérât,modérassions,modérassiez,modérassent,N/A,modère,N/A,modérons,modérez,N/A,ai modéré,as modéré,a modéré,avons modéré,avez modéré,ont modéré,avais modéré,avais modéré,avait modéré,avions modéré,aviez modéré,avaient modéré,aurai modéré,auras modéré,aura modéré,aurons modéré,aurez modéré,auront modéré,aurais modéré,aurais modéré,aurait modéré,aurions modéré,auriez modéré,auraient modéré,aie modéré,aies modéré,ait modéré,ayons modéré,ayez modéré,aient modéré,eusse modéré,eusses modéré,eût modéré,eussions modéré,eussiez modéré,eussent modéré,eus modéré,eus modéré,eut modéré,eûmes modéré,eûtes modéré,eurent modéré,N/A,aie modéré,N/A,ayons modéré,ayez modéré,N/A,modérant
obtenir,to obtain/to get,TRUE,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent,obtenais,obtenais,obtenait,obtenions,obteniez,obtenaient,obtins,obtins,obtint,obtînmes,obtîntes,obtinrent,obtiendrai,obtiendras,obtiendra,obtiendrons,obtiendrez,obtiendront,obtiendrais,obtiendrais,obtiendrait,obtiendrions,obtiendriez,obtiendraient,obtienne,obtiennes,obtienne,obtenions,obteniez,obtiennent,obtinsse,obtinsses,obtînt,obtinssions,obtinssiez,obtinssent,N/A,obtiens,N/A,obtenons,obtenez,N/A,ai obtenu,as obtenu,a obtenu,avons obtenu,avez obtenu,ont obtenu,avais obtenu,avais obtenu,avait obtenu,avions obtenu,aviez obtenu,avaient obtenu,aurai obtenu,auras obtenu,aura obtenu,aurons obtenu,aurez obtenu,auront obtenu,aurais obtenu,aurais obtenu,aurait obtenu,aurions obtenu,auriez obtenu,auraient obtenu,aie obtenu,aies obtenu,ait obtenu,ayons obtenu,ayez obtenu,aient obtenu,eusse obtenu,eusses obtenu,eût obtenu,eussions obtenu,eussiez obtenu,eussent obtenu,eus obtenu,eus obtenu,eut obtenu,eûmes obtenu,eûtes obtenu,eurent obtenu,N/A,aie obtenu,N/A,ayons obtenu,ayez obtenu,N/A,obtenant
participer,to participate,FALSE,participe,participes,participe,participons,participez,participent,participais,participais,participait,participions,participiez,participaient,participai,participas,participa,participâmes,participâtes,participèrent,participerai,participeras,participera,participerons,participerez,participeront,participerais,participerais,participerait,participerions,participeriez,participeraient,participe,participes,participe,participions,participiez,participent,participasse,participasses,participât,participassions,participassiez,participassent,N/A,participe,N/A,participons,participez,N/A,ai participé,as participé,a participé,avons participé,avez participé,ont participé,avais participé,avais participé,avait participé,avions participé,aviez participé,avaient participé,aurai participé,auras participé,aura participé,aurons participé,aurez participé,auront participé,aurais participé,aurais participé,aurait participé,aurions participé,auriez participé,auraient participé,aie participé,aies participé,ait participé,ayons participé,ayez participé,aient participé,eusse participé,eusses participé,eût participé,eussions participé,eussiez participé,eussent participé,eus participé,eus participé,eut participé,eûmes participé,eûtes participé,eurent participé,N/A,aie participé,N/A,ayons participé,ayez participé,N/A,participant
occuper,to occupy,FALSE,occupe,occupes,occupe,occupons,occupez,occupent,occupais,occupais,occupait,occupions,occupiez,occupaient,occupai,occupas,occupa,occupâmes,occupâtes,occupèrent,occuperai,occuperas,occupera,occuperons,occuperez,occuperont,occuperais,occuperais,occuperait,occuperions,occuperiez,occuperaient,occupe,occupes,occupe,occupions,occupiez,occupent,occupasse,occupasses,occupât,occupassions,occupassiez,occupassent,N/A,occupe,N/A,occupons,occupez,N/A,ai occupé,as occupé,a occupé,avons occupé,avez occupé,ont occupé,avais occupé,avais occupé,avait occupé,avions occupé,aviez occupé,avaient occupé,aurai occupé,auras occupé,aura occupé,aurons occupé,aurez occupé,auront occupé,aurais occupé,aurais occupé,aurait occupé,aurions occupé,auriez occupé,auraient occupé,aie occupé,aies occupé,ait occupé,ayons occupé,ayez occupé,aient occupé,eusse occupé,eusses occupé,eût occupé,eussions occupé,eussiez occupé,eussent occupé,eus occupé,eus occupé,eut occupé,eûmes occupé,eûtes occupé,eurent occupé,N/A,aie occupé,N/A,ayons occupé,ayez occupé,N/A,occupant
pendre,to hang,TRUE,pends,pends,pend,pendons,pendez,pendent,pendais,pendais,pendait,pendions,pendiez,pendaient,pendis,pendis,pendit,pendîmes,pendîtes,pendirent,pendrai,pendras,pendra,pendrons,pendrez,pendront,pendrais,pendrais,pendrait,pendrions,pendriez,pendraient,pende,pendes,pende,pendions,pendiez,pendent,pendisse,pendisses,pendît,pendissions,pendissiez,pendissent,N/A,pends,N/A,pendons,pendez,N/A,ai pendu,as pendu,a pendu,avons pendu,avez pendu,ont pendu,avais pendu,avais pendu,avait pendu,avions pendu,aviez pendu,avaient pendu,aurai pendu,auras pendu,aura pendu,aurons pendu,aurez pendu,auront pendu,aurais pendu,aurais pendu,aurait pendu,aurions pendu,auriez pendu,auraient pendu,aie pendu,aies pendu,ait pendu,ayons pendu,ayez pendu,aient pendu,eusse pendu,eusses pendu,eût pendu,eussions pendu,eussiez pendu,eussent pendu,eus pendu,eus pendu,eut pendu,eûmes pendu,eûtes pendu,eurent pendu,N/A,aie pendu,N/A,ayons pendu,ayez pendu,N/A,pendant
périr,to perish,FALSE,péris,péris,périt,périssons,périssez,périssent,périssais,périssais,périssait,périssions,périssiez,périssaient,péris,péris,périt,pérîmes,pérîtes,périrent,périrai,périras,périra,périrons,périrez,périront,périrais,périrais,périrait,péririons,péririez,périraient,périsse,périsses,périsse,périssions,périssiez,périssent,périsse,périsses,pérît,périssions,périssiez,périssent,N/A,péris,N/A,périssons,périssez,N/A,ai péri,as péri,a péri,avons péri,avez péri,ont péri,avais péri,avais péri,avait péri,avions péri,aviez péri,avaient péri,aurai péri,auras péri,aura péri,aurons péri,aurez péri,auront péri,aurais péri,aurais péri,aurait péri,aurions péri,auriez péri,auraient péri,aie péri,aies péri,ait péri,ayons péri,ayez péri,aient péri,eusse péri,eusses péri,eût péri,eussions péri,eussiez péri,eussent péri,eus péri,eus péri,eut péri,eûmes péri,eûtes péri,eurent péri,N/A,aie péri,N/A,ayons péri,ayez péri,N/A,périssant
oindre,to anoint,TRUE,oins,oins,oint,oignons,oignez,oignent,oignais,oignais,oignait,oignions,oigniez,oignaient,oignis,oignis,oignit,oignîmes,oignîtes,oignirent,oindrai,oindras,oindra,oindrons,oindrez,oindront,oindrais,oindrais,oindrait,oindrions,oindriez,oindraient,oigne,oignes,oigne,oignions,oigniez,oignent,oignisse,oignisses,oignît,oignissions,oignissiez,oignissent,N/A,oins,N/A,oignons,oignez,N/A,ai oint,as oint,a oint,avons oint,avez oint,ont oint,avais oint,avais oint,avait oint,avions oint,aviez oint,avaient oint,aurai oint,auras oint,aura oint,aurons oint,aurez oint,auront oint,aurais oint,aurais oint,aurait oint,aurions oint,auriez oint,auraient oint,aie oint,aies oint,ait oint,ayons oint,ayez oint,aient oint,eusse oint,eusses oint,eût oint,eussions oint,eussiez oint,eussent oint,eus oint,eus oint,eut oint,eûmes oint,eûtes oint,eurent oint,N/A,aie oint,N/A,ayons oint,ayez oint,N/A,oignant
oser,to dare,FALSE,ose,oses,ose,osons,osez,osent,osais,osais,osait,osions,osiez,osaient,osai,osas,osa,osâmes,osâtes,osèrent,oserai,oseras,osera,oserons,oserez,oseront,oserais,oserais,oserait,oserions,oseriez,oseraient,ose,oses,ose,osions,osiez,osent,osasse,osasses,osât,osassions,osassiez,osassent,N/A,ose,N/A,osons,osez,N/A,ai osé,as osé,a osé,avons osé,avez osé,ont osé,avais osé,avais osé,avait osé,avions osé,aviez osé,avaient osé,aurai osé,auras osé,aura osé,aurons osé,aurez osé,auront osé,aurais osé,aurais osé,aurait osé,aurions osé,auriez osé,auraient osé,aie osé,aies osé,ait osé,ayons osé,ayez osé,aient osé,eusse osé,eusses osé,eût osé,eussions osé,eussiez osé,eussent osé,eus osé,eus osé,eut osé,eûmes osé,eûtes osé,eurent osé,N/A,aie osé,N/A,ayons osé,ayez osé,N/A,osant
partir,to leave,TRUE,pars,pars,part,partons,partez,partent,partais,partais,partait,partions,partiez,partaient,partis,partis,partit,partîmes,partîtes,partirent,partirai,partiras,partira,partirons,partirez,partiront,partirais,partirais,partirait,partirions,partiriez,partiraient,parte,partes,parte,partions,partiez,partent,partisse,partisses,partît,partissions,partissiez,partissent,N/A,pars,N/A,partons,partez,N/A,suis parti,es parti,est parti,sommes parti,êtes parti,sont parti,étais parti,étais parti,était parti,étions parti,étiez parti,étaient parti,serai parti,seras parti,sera parti,serons parti,serez parti,seront parti,serais parti,serais parti,serait parti,serions parti,seriez parti,seraient parti,sois parti,sois parti,soit parti,soyons parti,soyez parti,soient parti,fusse parti,fusses parti,fût parti,fussions parti,fussiez parti,fussent parti,fus parti,fus parti,fut parti,fûmes parti,fûtes parti,fûrent parti,N/A,sois parti,N/A,soyons parti,soyez parti,N/A,partant
partager,to share,FALSE,partage,partages,partage,partageons,partagez,partagent,partageais,partageais,partageait,partagions,partagiez,partageaient,partageai,partageas,partagea,partageâmes,partageâtes,partagèrent,partagerai,partageras,partagera,partagerons,partagerez,partageront,partagerais,partagerais,partagerait,partagerions,partageriez,partageraient,partage,partages,partage,partagions,partagiez,partagent,partageasse,partageasses,partageât,partageassions,partageassiez,partageassent,N/A,partage,N/A,partageons,partagez,N/A,ai partagé,as partagé,a partagé,avons partagé,avez partagé,ont partagé,avais partagé,avais partagé,avait partagé,avions partagé,aviez partagé,avaient partagé,aurai partagé,auras partagé,aura partagé,aurons partagé,aurez partagé,auront partagé,aurais partagé,aurais partagé,aurait partagé,aurions partagé,auriez partagé,auraient partagé,aie partagé,aies partagé,ait partagé,ayons partagé,ayez partagé,aient partagé,eusse partagé,eusses partagé,eût partagé,eussions partagé,eussiez partagé,eussent partagé,eus partagé,eus partagé,eut partagé,eûmes partagé,eûtes partagé,eurent partagé,N/A,aie partagé,N/A,ayons partagé,ayez partagé,N/A,partageant
patiner,to skate,FALSE,patine,patines,patine,patinons,patinez,patinent,patinais,patinais,patinait,patinions,patiniez,patinaient,patinai,patinas,patina,patinâmes,patinâtes,patinèrent,patinerai,patineras,patinera,patinerons,patinerez,patineront,patinerais,patinerais,patinerait,patinerions,patineriez,patineraient,patine,patines,patine,patinions,patiniez,patinent,patinasse,patinasses,patinât,patinassions,patinassiez,patinassent,N/A,patine,N/A,patinons,patinez,N/A,ai patiné,as patiné,a patiné,avons patiné,avez patiné,ont patiné,avais patiné,avais patiné,avait patiné,avions patiné,aviez patiné,avaient patiné,aurai patiné,auras patiné,aura patiné,aurons patiné,aurez patiné,auront patiné,aurais patiné,aurais patiné,aurait patiné,aurions patiné,auriez patiné,auraient patiné,aie patiné,aies patiné,ait patiné,ayons patiné,ayez patiné,aient patiné,eusse patiné,eusses patiné,eût patiné,eussions patiné,eussiez patiné,eussent patiné,eus patiné,eus patiné,eut patiné,eûmes patiné,eûtes patiné,eurent patiné,N/A,aie patiné,N/A,ayons patiné,ayez patiné,N/A,patinant
pêcher,to fish,FALSE,pêche,pêches,pêche,pêchons,pêchez,pêchent,pêchais,pêchais,pêchait,pêchions,pêchiez,pêchaient,pêchai,pêchas,pêcha,pêchâmes,pêchâtes,pêchèrent,pêcherai,pêcheras,pêchera,pêcherons,pêcherez,pêcheront,pêcherais,pêcherais,pêcherait,pêcherions,pêcheriez,pêcheraient,pêche,pêches,pêche,pêchions,pêchiez,pêchent,pêchasse,pêchasses,pêchât,pêchassions,pêchassiez,pêchassent,N/A,pêche,N/A,pêchons,pêchez,N/A,ai pêché,as pêché,a pêché,avons pêché,avez pêché,ont pêché,avais pêché,avais pêché,avait pêché,avions pêché,aviez pêché,avaient pêché,aurai pêché,auras pêché,aura pêché,aurons pêché,aurez pêché,auront pêché,aurais pêché,aurais pêché,aurait pêché,aurions pêché,auriez pêché,auraient pêché,aie pêché,aies pêché,ait pêché,ayons pêché,ayez pêché,aient pêché,eusse pêché,eusses pêché,eût pêché,eussions pêché,eussiez pêché,eussent pêché,eus pêché,eus pêché,eut pêché,eûmes pêché,eûtes pêché,eurent pêché,N/A,aie pêché,N/A,ayons pêché,ayez pêché,N/A,pêchant
parvenir,to reach,TRUE,parviens,parviens,parvient,parvenons,parvenez,parviennent,parvenais,parvenais,parvenait,parvenions,parveniez,parvenaient,parvins,parvins,parvint,parvînmes,parvîntes,parvinrent,parviendrai,parviendras,parviendra,parviendrons,parviendrez,parviendront,parviendrais,parviendrais,parviendrait,parviendrions,parviendriez,parviendraient,parvienne,parviennes,parvienne,parvenions,parveniez,parviennent,parvinsse,parvinsses,parvînt,parvinssions,parvinssiez,parvinssent,N/A,parviens,N/A,parvenons,parvenez,N/A,suis parvenu,es parvenu,est parvenu,sommes parvenu,êtes parvenu,sont parvenu,étais parvenu,étais parvenu,était parvenu,étions parvenu,étiez parvenu,étaient parvenu,serai parvenu,seras parvenu,sera parvenu,serons parvenu,serez parvenu,seront parvenu,serais parvenu,serais parvenu,serait parvenu,serions parvenu,seriez parvenu,seraient parvenu,sois parvenu,sois parvenu,soit parvenu,soyons parvenu,soyez parvenu,soient parvenu,fusse parvenu,fusses parvenu,fût parvenu,fussions parvenu,fussiez parvenu,fussent parvenu,fus parvenu,fus parvenu,fut parvenu,fûmes parvenu,fûtes parvenu,fûrent parvenu,N/A,sois parvenu,N/A,soyons parvenu,soyez parvenu,N/A,parvenant
ouvrir,to open,TRUE,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent,ouvrais,ouvrais,ouvrait,ouvrions,ouvriez,ouvraient,ouvris,ouvris,ouvrit,ouvrîmes,ouvrîtes,ouvrirent,ouvrirai,ouvriras,ouvrira,ouvrirons,ouvrirez,ouvriront,ouvrirais,ouvrirais,ouvrirait,ouvririons,ouvririez,ouvriraient,ouvre,ouvres,ouvre,ouvrions,ouvriez,ouvrent,ouvrisse,ouvrisses,ouvrît,ouvrissions,ouvrissiez,ouvrissent,N/A,ouvre,N/A,ouvrons,ouvrez,N/A,ai ouvert,as ouvert,a ouvert,avons ouvert,avez ouvert,ont ouvert,avais ouvert,avais ouvert,avait ouvert,avions ouvert,aviez ouvert,avaient ouvert,aurai ouvert,auras ouvert,aura ouvert,aurons ouvert,aurez ouvert,auront ouvert,aurais ouvert,aurais ouvert,aurait ouvert,aurions ouvert,auriez ouvert,auraient ouvert,aie ouvert,aies ouvert,ait ouvert,ayons ouvert,ayez ouvert,aient ouvert,eusse ouvert,eusses ouvert,eût ouvert,eussions ouvert,eussiez ouvert,eussent ouvert,eus ouvert,eus ouvert,eut ouvert,eûmes ouvert,eûtes ouvert,eurent ouvert,N/A,aie ouvert,N/A,ayons ouvert,ayez ouvert,N/A,ouvrant
parcourir,to cover/travel,TRUE,parcours,parcours,parcourt,parcourons,parcourez,parcourent,parcourais,parcourais,parcourait,parcourions,parcouriez,parcouraient,parcourus,parcourus,parcourut,parcourûmes,parcourûtes,parcoururent,parcourrai,parcourras,parcourra,parcourrons,parcourrez,parcourront,parcourrais,parcourrais,parcourrait,parcourrions,parcourriez,parcourraient,parcoure,parcoures,parcoure,parcourions,parcouriez,parcourent,parcourusse,parcourusses,parcourût,parcourussions,parcourussiez,parcourussent,N/A,parcours,N/A,parcourons,parcourez,N/A,ai parcouru,as parcouru,a parcouru,avons parcouru,avez parcouru,ont parcouru,avais parcouru,avais parcouru,avait parcouru,avions parcouru,aviez parcouru,avaient parcouru,aurai parcouru,auras parcouru,aura parcouru,aurons parcouru,aurez parcouru,auront parcouru,aurais parcouru,aurais parcouru,aurait parcouru,aurions parcouru,auriez parcouru,auraient parcouru,aie parcouru,aies parcouru,ait parcouru,ayons parcouru,ayez parcouru,aient parcouru,eusse parcouru,eusses parcouru,eût parcouru,eussions parcouru,eussiez parcouru,eussent parcouru,eus parcouru,eus parcouru,eut parcouru,eûmes parcouru,eûtes parcouru,eurent parcouru,N/A,aie parcouru,N/A,ayons parcouru,ayez parcouru,N/A,parcourant
penser,to think,FALSE,pense,penses,pense,pensons,pensez,pensent,pensais,pensais,pensait,pensions,pensiez,pensaient,pensai,pensas,pensa,pensâmes,pensâtes,pensèrent,penserai,penseras,pensera,penserons,penserez,penseront,penserais,penserais,penserait,penserions,penseriez,penseraient,pense,penses,pense,pensions,pensiez,pensent,pensasse,pensasses,pensât,pensassions,pensassiez,pensassent,N/A,pense,N/A,pensons,pensez,N/A,ai pensé,as pensé,a pensé,avons pensé,avez pensé,ont pensé,avais pensé,avais pensé,avait pensé,avions pensé,aviez pensé,avaient pensé,aurai pensé,auras pensé,aura pensé,aurons pensé,aurez pensé,auront pensé,aurais pensé,aurais pensé,aurait pensé,aurions pensé,auriez pensé,auraient pensé,aie pensé,aies pensé,ait pensé,ayons pensé,ayez pensé,aient pensé,eusse pensé,eusses pensé,eût pensé,eussions pensé,eussiez pensé,eussent pensé,eus pensé,eus pensé,eut pensé,eûmes pensé,eûtes pensé,eurent pensé,N/A,aie pensé,N/A,ayons pensé,ayez pensé,N/A,pensant
passer,to pass/spend time,FALSE,passe,passes,passe,passons,passez,passent,passais,passais,passait,passions,passiez,passaient,passai,passas,passa,passâmes,passâtes,passèrent,passerai,passeras,passera,passerons,passerez,passeront,passerais,passerais,passerait,passerions,passeriez,passeraient,passe,passes,passe,passions,passiez,passent,passasse,passasses,passât,passassions,passassiez,passassent,N/A,passe,N/A,passons,passez,N/A,ai passé,as passé,a passé,avons passé,avez passé,ont passé,avais passé,avais passé,avait passé,avions passé,aviez passé,avaient passé,aurai passé,auras passé,aura passé,aurons passé,aurez passé,auront passé,aurais passé,aurais passé,aurait passé,aurions passé,auriez passé,auraient passé,aie passé,aies passé,ait passé,ayons passé,ayez passé,aient passé,eusse passé,eusses passé,eût passé,eussions passé,eussiez passé,eussent passé,eus passé,eus passé,eut passé,eûmes passé,eûtes passé,eurent passé,N/A,aie passé,N/A,ayons passé,ayez passé,N/A,passant
parler,to talk,FALSE,parle,parles,parle,parlons,parlez,parlent,parlais,parlais,parlait,parlions,parliez,parlaient,parlai,parlas,parla,parlâmes,parlâtes,parlèrent,parlerai,parleras,parlera,parlerons,parlerez,parleront,parlerais,parlerais,parlerait,parlerions,parleriez,parleraient,parle,parles,parle,parlions,parliez,parlent,parlasse,parlasses,parlât,parlassions,parlassiez,parlassent,N/A,parle,N/A,parlons,parlez,N/A,ai parlé,as parlé,a parlé,avons parlé,avez parlé,ont parlé,avais parlé,avais parlé,avait parlé,avions parlé,aviez parlé,avaient parlé,aurai parlé,auras parlé,aura parlé,aurons parlé,aurez parlé,auront parlé,aurais parlé,aurais parlé,aurait parlé,aurions parlé,auriez parlé,auraient parlé,aie parlé,aies parlé,ait parlé,ayons parlé,ayez parlé,aient parlé,eusse parlé,eusses parlé,eût parlé,eussions parlé,eussiez parlé,eussent parlé,eus parlé,eus parlé,eut parlé,eûmes parlé,eûtes parlé,eurent parlé,N/A,aie parlé,N/A,ayons parlé,ayez parlé,N/A,parlant
